Gene,Drug,test.ROC.AUC,Varimp.Score
BIRC5,Erlotinib,1,85.3198951014858
DCLRE1B,Erlotinib,1,85.3198951014858
DNMT1,Erlotinib,1,85.3198951014858
GLUD1,Erlotinib,1,85.3198951014858
GPRC5B,Erlotinib,1,85.3198951014858
HMMR,Erlotinib,1,85.3198951014858
IFIT2,Erlotinib,1,85.3198951014858
INCENP,Erlotinib,1,85.3198951014858
ITGA2,Erlotinib,1,85.3198951014858
MASP2,Erlotinib,1,85.3198951014858
MDH2,Erlotinib,1,85.3198951014858
NDUFS2,Erlotinib,1,85.3198951014858
PCBD1,Erlotinib,1,85.3198951014858
PFKL,Erlotinib,1,85.3198951014858
PHB,Erlotinib,1,85.3198951014858
PRDX3,Erlotinib,1,85.3198951014858
PRKDC,Erlotinib,1,85.3198951014858
PSMD3,Erlotinib,1,85.3198951014858
PTTG1,Erlotinib,1,85.3198951014858
RACGAP1,Erlotinib,1,85.3198951014858
RRP9,Erlotinib,1,85.3198951014858
TRIM28,Erlotinib,1,85.3198951014858
DTYMK,Erlotinib,1,82.7940424902625
E2F1,Erlotinib,1,82.7940424902625
FYN,Erlotinib,1,82.7940424902625
GPI,Erlotinib,1,82.7940424902625
KIF3C,Erlotinib,1,82.7940424902625
NCL,Erlotinib,1,82.7940424902625
PSMD1,Erlotinib,1,82.7940424902625
PTPRG,Erlotinib,1,82.7940424902625
RNASEH2A,Erlotinib,1,82.7940424902625
ANGPTL4,Erlotinib,1,100
CCDC58,Erlotinib,1,100
CTH,Erlotinib,1,100
HSPE1,Erlotinib,1,100
MMS22L,Erlotinib,1,100
MYH9,Erlotinib,1,100
RPLP0,Erlotinib,1,100
TOP2A,Erlotinib,1,100
U2AF1,Erlotinib,1,100
CCT4,Erlotinib,1,85.3198951014858
CDK5RAP2,Erlotinib,1,85.3198951014858
COX7A2L,Erlotinib,1,85.3198951014858
DCTPP1,Erlotinib,1,85.3198951014858
DDIT4,Erlotinib,1,85.3198951014858
EIF4A1,Erlotinib,1,85.3198951014858
EZH2,Erlotinib,1,85.3198951014858
MCM6,Erlotinib,1,85.3198951014858
MYC,Erlotinib,1,85.3198951014858
NDUFS8,Erlotinib,1,85.3198951014858
PDHA1,Erlotinib,1,85.3198951014858
PDHB,Erlotinib,1,85.3198951014858
SLC25A3,Erlotinib,1,85.3198951014858
MCM2,Erlotinib,1,100
CAPZB,Erlotinib,1,100
CD2AP,Erlotinib,1,100
CTSH,Erlotinib,1,100
D2HGDH,Erlotinib,1,100
DSCC1,Erlotinib,1,100
HCCS,Erlotinib,1,100
RAN,Erlotinib,1,100
TGFB1,Erlotinib,1,100
CENPM,Erlotinib,1,100
GPR3,Erlotinib,1,100
MCM5,Erlotinib,1,100
MLH1,Erlotinib,1,100
RNF19B,Erlotinib,1,100
SNRPG,Erlotinib,1,100
SORD,Erlotinib,1,100
SPC25,Erlotinib,1,100
SURF1,Erlotinib,1,100
VDAC2,Erlotinib,1,100
FLNA,Erlotinib,1,82.7940424902625
GINS2,Erlotinib,1,82.7940424902625
HSD11B2,Erlotinib,1,82.7940424902625
KPNB1,Erlotinib,1,82.7940424902625
LRPPRC,Erlotinib,1,82.7940424902625
MRPS22,Erlotinib,1,82.7940424902625
PSMB3,Erlotinib,1,82.7940424902625
TPI1,Erlotinib,1,82.7940424902625
UBE2E1,Erlotinib,1,82.7940424902625
YWHAH,Erlotinib,1,82.7940424902625
COPS5,Erlotinib,1,100
CPOX,Erlotinib,1,100
GDA,Erlotinib,1,100
NDUFB2,Erlotinib,1,100
PDS5B,Erlotinib,1,100
POLD2,Erlotinib,1,100
PRC1,Erlotinib,1,100
RABGAP1L,Erlotinib,1,100
SPTBN1,Erlotinib,1,100
SQLE,Erlotinib,1,100
SUCLA2,Erlotinib,1,100
UROD,Erlotinib,1,100
ARHGDIA,Erlotinib,1,100
COX4I1,Erlotinib,1,100
HSD17B11,Erlotinib,1,100
IPO7,Erlotinib,1,100
PGK1,Erlotinib,1,100
PPIA,Erlotinib,1,100
PPRC1,Erlotinib,1,100
PTGES3,Erlotinib,1,100
RPA2,Erlotinib,1,100
ACACA,Erlotinib,1,82.7940424902625
DDX21,Erlotinib,1,82.7940424902625
HNRNPD,Erlotinib,1,82.7940424902625
HSPD1,Erlotinib,1,82.7940424902625
PWP1,Erlotinib,1,82.7940424902625
XPO1,Erlotinib,1,82.7940424902625
YKT6,Erlotinib,1,82.7940424902625
YWHAE,Erlotinib,1,82.7940424902625
BUB1,Erlotinib,1,82.7940424902625
ELOVL6,Erlotinib,1,82.7940424902625
EXOSC5,Erlotinib,1,82.7940424902625
FLNB,Erlotinib,1,82.7940424902625
GINS4,Erlotinib,1,82.7940424902625
KDM6B,Erlotinib,1,82.7940424902625
KIF11,Erlotinib,1,82.7940424902625
LYAR,Erlotinib,1,82.7940424902625
MSH2,Erlotinib,1,82.7940424902625
NME1,Erlotinib,1,82.7940424902625
PPA1,Erlotinib,1,82.7940424902625
ZNF112,Erlotinib,1,82.7940424902625
CYP51A1,Erlotinib,1,100
HDAC6,Erlotinib,1,100
MDH1,Erlotinib,1,100
RAPGEF3,Erlotinib,1,100
SLC6A14,Erlotinib,1,100
CHEK2,Erlotinib,1,82.7940424902625
CKAP5,Erlotinib,1,82.7940424902625
CUL4A,Erlotinib,1,82.7940424902625
HMGB2,Erlotinib,1,82.7940424902625
PSMD13,Erlotinib,1,82.7940424902625
PTS,Erlotinib,1,100
TNIP2,Erlotinib,1,100
CDC25B,Erlotinib,1,82.7940424902625
NPY4R,Erlotinib,1,82.7940424902625
RPL6,Erlotinib,1,82.7940424902625
KLF4,Erlotinib,1,82.7940424902625
LDHB,Erlotinib,1,82.7940424902625
SMC3,Erlotinib,1,100
BYSL,Erlotinib,1,82.7940424902625
EEF1B2,Erlotinib,1,82.7940424902625
MTHFD2,Erlotinib,1,82.7940424902625
ECHS1,Erlotinib,1,100
EIF4E,Erlotinib,1,100
MCM3,Erlotinib,1,100
SLC7A1,Erlotinib,1,100
DUT,Erlotinib,1,100
EXO1,Erlotinib,1,100
MAP3K8,Erlotinib,1,100
ACAA2,Erlotinib,1,82.7940424902625
ATP6V1F,Erlotinib,1,82.7940424902625
BIN1,Erlotinib,1,82.7940424902625
COX5B,Erlotinib,1,82.7940424902625
LAMB3,Erlotinib,1,82.7940424902625
ORC6,Erlotinib,1,82.7940424902625
AURKB,Erlotinib,1,85.3198951014858
EVI5,Erlotinib,1,85.3198951014858
LTA4H,Erlotinib,1,85.3198951014858
TUBA4A,Erlotinib,1,100
PSPH,Erlotinib,1,100
CD37,Erlotinib,1,100
EFNA1,Erlotinib,1,100
KIF22,Erlotinib,1,100
PAICS,Erlotinib,1,100
RDH11,Erlotinib,1,100
SCD,Erlotinib,1,100
SNRPA1,Erlotinib,1,100
CDKN2C,Erlotinib,1,82.7940424902625
IGFBP3,Erlotinib,1,82.7940424902625
KRT15,Erlotinib,1,82.7940424902625
NDUFA8,Erlotinib,1,82.7940424902625
POP7,Erlotinib,1,82.7940424902625
SUPV3L1,Erlotinib,1,82.7940424902625
UQCRQ,Erlotinib,1,82.7940424902625
ZFP36,Erlotinib,1,82.7940424902625
ECI2,Erlotinib,1,100
PTGS2,Erlotinib,1,100
BIRC3,Erlotinib,1,82.7940424902625
NDUFB4,Erlotinib,1,82.7940424902625
CDKN3,Erlotinib,1,100
ACSL5,Erlotinib,1,100
ARHGEF3,Erlotinib,1,82.7940424902625
HNRNPC,Erlotinib,1,82.7940424902625
PRPS2,Erlotinib,1,82.7940424902625
SLBP,Erlotinib,1,82.7940424902625
ARF6,Erlotinib,1,82.7940424902625
CCT7,Erlotinib,1,82.7940424902625
PSMB2,Erlotinib,1,82.7940424902625
RPS10,Erlotinib,1,82.7940424902625
SDHC,Erlotinib,1,82.7940424902625
DDX18,Erlotinib,1,88.3057650443162
BPGM,Erlotinib,1,100
CUL3,Erlotinib,1,100
LBR,Erlotinib,1,100
SRM,Erlotinib,1,100
TSPAN13,Erlotinib,1,100
CASP7,Erlotinib,1,85.3198951014858
CNTROB,Erlotinib,1,85.3198951014858
PLAUR,Erlotinib,1,85.3198951014858
PPM1G,Erlotinib,1,85.3198951014858
UBR7,Erlotinib,1,85.3198951014858
BTG2,Erlotinib,1,82.7940424902625
CDC42EP4,Erlotinib,1,82.7940424902625
ATRX,Erlotinib,1,100
CEP131,Erlotinib,1,100
CSTF2,Erlotinib,1,100
RABIF,Erlotinib,1,100
TGIF1,Erlotinib,1,100
ORC5,Erlotinib,1,82.7940424902625
C3,Erlotinib,1,82.7940424902625
HADH,Erlotinib,1,82.7940424902625
IER5,Erlotinib,1,82.7940424902625
LIG1,Erlotinib,1,82.7940424902625
ANP32E,Erlotinib,1,100
SPHK2,Erlotinib,1,100
TXNL4A,Erlotinib,1,100
ARHGEF7,Erlotinib,1,82.7940424902625
GAPDH,Erlotinib,1,82.7940424902625
SLC25A12,Erlotinib,1,82.7940424902625
TOMM40,Erlotinib,1,82.7940424902625
CDCA3,Erlotinib,1,100
DNAJB4,Erlotinib,1,100
PRIM2,Erlotinib,1,100
SERPINE1,Erlotinib,1,100
ACAA1,Erlotinib,1,82.7940424902625
CKS2,Erlotinib,1,82.7940424902625
NDUFS3,Erlotinib,1,82.7940424902625
BUB3,Erlotinib,1,82.7940424902625
SSRP1,Erlotinib,1,82.7940424902625
BUB1B,Erlotinib,1,100
SMC1A,Erlotinib,1,100
TMPO,Erlotinib,1,100
PRPS1,Erlotinib,1,82.7940424902625
ABCF2,Erlotinib,1,82.7940424902625
CSE1L,Erlotinib,1,82.7940424902625
OAT,Erlotinib,1,82.7940424902625
SHROOM1,Erlotinib,1,82.7940424902625
UBE2T,Erlotinib,1,82.7940424902625
UGDH,Erlotinib,1,82.7940424902625
LMNB1,Erlotinib,1,100
SAC3D1,Erlotinib,1,100
PUS1,Erlotinib,1,82.7940424902625
CUL5,Erlotinib,1,82.7940424902625
HMGN2,Erlotinib,1,82.7940424902625
SLC2A3,Erlotinib,1,82.7940424902625
MCM4,Erlotinib,1,82.7940424902625
PNP,Erlotinib,1,85.3198951014858
ALS2,Erlotinib,1,100
ATF5,Erlotinib,1,100
NDUFB8,Erlotinib,1,100
PSMA2,Erlotinib,1,100
UBE2S,Erlotinib,1,100
YWHAQ,Erlotinib,1,100
ACSL4,Erlotinib,1,82.7940424902625
CDCA8,Erlotinib,1,82.7940424902625
CENPJ,Erlotinib,1,82.7940424902625
NTHL1,Erlotinib,1,82.7940424902625
GNG11,Erlotinib,1,85.3198951014858
HMGA1,Erlotinib,1,85.3198951014858
MAFF,Erlotinib,1,100
RBBP7,Erlotinib,1,82.7940424902625
WNT16,Erlotinib,1,82.7940424902625
EBP,Erlotinib,1,82.7940424902625
HADHA,Erlotinib,1,82.7940424902625
PCM1,Erlotinib,1,82.7940424902625
AADAT,Erlotinib,1,100
PAFAH1B1,Erlotinib,1,100
PSMA7,Erlotinib,1,100
SAP30,Erlotinib,1,100
SNRPA,Erlotinib,1,100
HNRNPU,Erlotinib,1,82.7940424902625
PSMB5,Erlotinib,1,82.7940424902625
C1QBP,Erlotinib,1,82.7940424902625
CLNS1A,Erlotinib,1,82.7940424902625
CRIP2,Erlotinib,1,82.7940424902625
LDHA,Erlotinib,1,82.7940424902625
NDUFS1,Erlotinib,1,82.7940424902625
PSMG1,Erlotinib,1,82.7940424902625
SNRPD1,Erlotinib,1,82.7940424902625
TOMM22,Erlotinib,1,82.7940424902625
CD274,Etoposide,0.9,92.8976530526085
CLDN4,Etoposide,0.9,100
COL7A1,Etoposide,0.9,83.4668808466258
COX11,Etoposide,0.9,86.1362672818991
CTSS,Etoposide,0.9,83.4668808466258
GADD45A,Etoposide,0.9,83.4668808466258
LAMA3,Etoposide,0.9,83.4668808466258
VDAC2,Etoposide,0.9,82.3920956996558
ZFPM2,Etoposide,0.9,83.4668808466258
CDH13,Etoposide,0.95,86.9730226388138
EDIL3,Etoposide,0.95,86.9730226388138
FUCA1,Etoposide,0.95,88.3057650443162
HDAC9,Etoposide,0.95,86.9730226388138
IL1B,Etoposide,0.95,86.9730226388138
KLF4,Etoposide,0.95,100
MRPS11,Etoposide,0.95,88.3057650443162
NAGK,Etoposide,0.95,98.7956860212577
PCDH7,Etoposide,0.95,86.9730226388138
PTGER4,Etoposide,0.95,88.3057650443162
SLC19A1,Etoposide,0.95,88.3057650443162
TXNL4A,Etoposide,0.95,86.9730226388138
ADAM9,Etoposide,1,86.9730226388138
APOL6,Etoposide,1,86.9730226388138
CTSL,Etoposide,1,100
DHX58,Etoposide,1,86.9730226388138
RAD23B,Etoposide,1,88.3057650443162
SF3A1,Etoposide,1,86.9730226388138
CD74,Etoposide,0.95,85.1334992370448
GATA3,Etoposide,0.95,85.1334992370448
HAS2,Etoposide,0.95,85.1334992370448
IFI30,Etoposide,0.95,85.1334992370448
IL7,Etoposide,0.95,85.1334992370448
ITGBL1,Etoposide,0.95,100
LAMC2,Etoposide,0.95,85.1334992370448
SERPINE1,Etoposide,0.95,85.1334992370448
SLC37A4,Etoposide,0.95,85.1334992370448
TAGLN,Etoposide,0.95,85.1334992370448
TGFBI,Etoposide,0.95,100
TSPAN13,Etoposide,0.95,85.1334992370448
APOBEC3F,Etoposide,1,85.1283966504887
BCL3,Etoposide,1,85.1283966504887
CXCR6,Etoposide,1,85.1283966504887
FH,Etoposide,1,85.1283966504887
GJA1,Etoposide,1,98.695523960347
MAFF,Etoposide,1,85.1283966504887
NDUFS8,Etoposide,1,85.1283966504887
PLAT,Etoposide,1,85.1283966504887
RPLP0,Etoposide,1,85.1283966504887
SH2B3,Etoposide,1,85.1283966504887
SURF1,Etoposide,1,98.695523960347
TGM2,Etoposide,1,85.1283966504887
UBE2E1,Etoposide,1,100
CD59,Etoposide,1,98.695523960347
CDCP1,Etoposide,1,85.1283966504887
EIF4E,Etoposide,1,85.1283966504887
ENPP1,Etoposide,1,85.1283966504887
GADD45B,Etoposide,1,100
GPRC5B,Etoposide,1,85.1283966504887
HDDC2,Etoposide,1,85.1283966504887
HRH1,Etoposide,1,85.1283966504887
IRAK2,Etoposide,1,98.695523960347
NFIL3,Etoposide,1,85.1283966504887
ST3GAL5,Etoposide,1,100
TES,Etoposide,1,98.695523960347
TNFRSF11B,Etoposide,1,85.1283966504887
USP1,Etoposide,1,85.1283966504887
AK4,Etoposide,0.85,100
COX7A2L,Etoposide,0.85,82.7940424902625
ERAP2,Etoposide,0.85,100
FYN,Etoposide,0.85,96.9815279787598
GLO1,Etoposide,0.85,82.7940424902625
MALL,Etoposide,0.85,82.7940424902625
MCM4,Etoposide,0.85,82.7940424902625
MCM6,Etoposide,0.85,82.7940424902625
NDUFA3,Etoposide,0.85,82.7940424902625
POLE3,Etoposide,0.85,82.7940424902625
PSMD1,Etoposide,0.85,82.7940424902625
PUS1,Etoposide,0.85,82.7940424902625
RETSAT,Etoposide,0.85,82.7940424902625
SKAP2,Etoposide,0.85,82.7940424902625
TRAFD1,Etoposide,0.85,98.4907639893799
TUFM,Etoposide,0.85,82.7940424902625
VEGFC,Etoposide,0.85,82.7940424902625
BIRC3,Etoposide,0.8,83.9337415344357
CDA,Etoposide,0.8,83.9337415344357
DKK1,Etoposide,0.8,83.9337415344357
G0S2,Etoposide,0.8,83.9337415344357
GYS1,Etoposide,0.8,83.9337415344357
IGFBP3,Etoposide,0.8,83.9337415344357
LOX,Etoposide,0.8,100
PDE4B,Etoposide,0.8,83.9337415344357
PDK1,Etoposide,0.8,83.9337415344357
IFI44,Etoposide,1,83.2872547429521
NDUFA7,Etoposide,1,82.2007924607455
SDC4,Etoposide,1,82.2007924607455
SRM,Etoposide,1,83.2872547429521
STC1,Etoposide,1,83.2872547429521
TNFSF10,Etoposide,1,83.2872547429521
UQCRB,Etoposide,1,100
CD55,Etoposide,0.9,86.4328726901418
FSTL1,Etoposide,0.9,86.4328726901418
MX1,Etoposide,0.9,86.4328726901418
QSOX1,Etoposide,0.9,98.695523960347
TGFBR3,Etoposide,0.9,86.4328726901418
YWHAQ,Etoposide,0.9,100
IDS,Etoposide,1,88.0332190011819
IRF1,Etoposide,1,89.3822074633053
MYBBP1A,Etoposide,1,88.0332190011819
PLAU,Etoposide,1,89.3822074633053
TNFRSF21,Etoposide,1,89.3822074633053
ADORA2B,Etoposide,1,85.1283966504887
CDK5R1,Etoposide,1,85.1283966504887
EHD1,Etoposide,1,85.1283966504887
ETFB,Etoposide,1,85.1283966504887
FOSL1,Etoposide,1,85.1283966504887
GDA,Etoposide,1,98.695523960347
IFNAR1,Etoposide,1,85.1283966504887
IGFBP6,Etoposide,1,85.1283966504887
IMPDH2,Etoposide,1,85.1283966504887
ITGA6,Etoposide,1,85.1283966504887
MET,Etoposide,1,85.1283966504887
NDUFA1,Etoposide,1,85.1283966504887
NFKB1,Etoposide,1,85.1283966504887
NFKBIZ,Etoposide,1,85.1283966504887
NT5E,Etoposide,1,85.1283966504887
PREP,Etoposide,1,85.1283966504887
SERPINA1,Etoposide,1,100
SLC2A1,Etoposide,1,85.1283966504887
ALDH1A3,Etoposide,0.95,100
COX6B1,Etoposide,0.95,100
IGFBP4,Etoposide,0.95,100
IPO4,Etoposide,0.95,100
NEXN,Etoposide,0.95,100
PFKFB3,Etoposide,0.95,100
PHKG1,Etoposide,0.95,100
PTX3,Etoposide,0.95,100
SNRPA1,Etoposide,0.95,100
XRCC6,Etoposide,0.95,100
COX7B,Etoposide,0.9,80.5201442911208
DAB2,Etoposide,0.9,80.5201442911208
EPHB2,Etoposide,0.9,80.5201442911208
HNRNPC,Etoposide,0.9,80.5201442911208
LRPPRC,Etoposide,0.9,100
MDH2,Etoposide,0.9,80.5201442911208
MRPL11,Etoposide,0.9,80.5201442911208
PHB2,Etoposide,0.9,80.5201442911208
POLR2F,Etoposide,0.9,80.5201442911208
PPAN,Etoposide,0.9,80.5201442911208
PRDX4,Etoposide,0.9,80.5201442911208
PSMB2,Etoposide,0.9,80.5201442911208
RPL14,Etoposide,0.9,80.5201442911208
RRP12,Etoposide,0.9,80.5201442911208
SDHB,Etoposide,0.9,94.5867036844497
SRSF1,Etoposide,0.9,92.1189819119272
UNG,Etoposide,0.9,94.5867036844497
WNK4,Etoposide,0.9,94.5867036844497
CDH1,Etoposide,1,82.7940424902625
CDH2,Etoposide,1,82.7940424902625
DPYD,Etoposide,1,82.7940424902625
NEDD4L,Etoposide,1,82.7940424902625
RSL1D1,Etoposide,1,82.7940424902625
TPBG,Etoposide,1,82.7940424902625
UTP20,Etoposide,1,82.7940424902625
MMP9,Etoposide,0.85,88.6912564443331
PCDH1,Etoposide,0.85,88.6912564443331
PTGS2,Etoposide,0.85,100
ALDOC,Etoposide,0.975,82.7940424902625
PLOD2,Etoposide,0.975,100
PRAF2,Etoposide,0.975,82.7940424902625
SAMD9L,Etoposide,0.975,82.7940424902625
BIRC2,Etoposide,1,100
MARCKS,Etoposide,1,90.9575681472909
GALM,Etoposide,0.85,89.5055923838693
TFPI,Etoposide,0.85,82.7621676869664
CCR7,Etoposide,0.9,82.9622886119928
FOXO3,Etoposide,0.9,100
IFIT2,Etoposide,0.9,82.9622886119928
ITGA2,Etoposide,0.9,100
SLC25A4,Etoposide,0.9,82.9622886119928
TNFAIP3,Etoposide,0.9,82.9622886119928
C3,Etoposide,0.85,82.7940424902625
ECHS1,Etoposide,0.85,100
HNRNPU,Etoposide,0.85,100
LSM7,Etoposide,0.85,82.7940424902625
MCM2,Etoposide,0.85,82.7940424902625
ODC1,Etoposide,0.85,98.4907639893799
OSMR,Etoposide,0.85,82.7940424902625
PA2G4,Etoposide,0.85,82.7940424902625
PLK1,Etoposide,0.85,82.7940424902625
RRM1,Etoposide,0.85,82.7940424902625
TFPI2,Etoposide,0.85,82.7940424902625
BST2,Etoposide,0.9,87.5343002547495
EFNA1,Etoposide,0.9,100
RRP9,Etoposide,0.9,89.8482126339166
SH3BGRL2,Etoposide,0.9,98.4163762231492
COL17A1,Etoposide,0.85,89.1314414193533
MGST3,Etoposide,0.85,87.892797851646
PLEC,Etoposide,0.85,89.1314414193533
SERPINB2,Etoposide,0.85,89.1314414193533
COL12A1,Etoposide,0.85,92.0785057154954
GCNT2,Etoposide,0.85,92.0785057154954
MRPS22,Etoposide,0.85,92.0785057154954
P4HA2,Etoposide,0.85,92.0785057154954
POLD2,Etoposide,0.85,100
CSTF2,Etoposide,0.85,83.9337415344357
LAS1L,Etoposide,0.85,83.9337415344357
LCP1,Etoposide,0.85,100
MAP3K6,Etoposide,0.85,83.9337415344357
PRCP,Etoposide,0.85,83.9337415344357
PSMA7,Etoposide,0.85,83.9337415344357
RHOT2,Etoposide,0.85,83.9337415344357
SLIT2,Etoposide,0.85,83.9337415344357
SNRPA,Etoposide,0.85,83.9337415344357
AMMECR1,Etoposide,0.9,86.9468481507628
DAP3,Etoposide,0.9,100
DUT,Etoposide,0.9,86.9468481507628
EDN1,Etoposide,0.9,86.9468481507628
RNF19B,Etoposide,0.9,86.9468481507628
TNFRSF12A,Etoposide,0.9,86.9468481507628
XAF1,Etoposide,0.9,86.9468481507628
BDH2,Etoposide,1,85.3198951014858
CCL20,Etoposide,1,85.3198951014858
COL5A1,Etoposide,1,85.3198951014858
CXCL1,Etoposide,1,98.7123214189051
CXCL2,Etoposide,1,85.3198951014858
DNAJB4,Etoposide,1,100
FBN1,Etoposide,1,85.3198951014858
GADD45G,Etoposide,1,85.3198951014858
IFNGR1,Etoposide,1,85.3198951014858
LPAR1,Etoposide,1,85.3198951014858
PDK3,Etoposide,1,85.3198951014858
PPM1G,Etoposide,1,85.3198951014858
ZC3H12A,Etoposide,1,100
AHNAK,Etoposide,0.8,82.6758082629248
CD82,Etoposide,0.8,82.6758082629248
CDH3,Etoposide,0.8,82.6758082629248
DCTPP1,Etoposide,0.8,82.6758082629248
EMP1,Etoposide,0.8,82.6758082629248
KLRK1,Etoposide,0.8,82.6758082629248
PDP1,Etoposide,0.8,82.6758082629248
PTHLH,Etoposide,0.8,82.6758082629248
SNAI2,Etoposide,0.8,82.6758082629248
TIPARP,Etoposide,0.8,82.6758082629248
AHR,Etoposide,1,82.7940424902625
COX5A,Etoposide,1,82.7940424902625
COX5B,Etoposide,1,82.7940424902625
MFN2,Etoposide,1,82.7940424902625
NEDD9,Etoposide,1,100
OAT,Etoposide,1,82.7940424902625
RARA,Etoposide,1,82.7940424902625
RPS5,Etoposide,1,100
SMAD3,Etoposide,1,82.7940424902625
TIMM50,Etoposide,1,82.7940424902625
GNA15,Etoposide,0.85,88.6912564443331
CXCL8,Etoposide,0.85,100
MIF,Etoposide,0.85,83.8630508894104
SNRPB2,Etoposide,0.85,91.7060893988759
EPB41L2,Etoposide,0.8,100
IL18,Etoposide,0.8,85.3198951014858
LDHA,Etoposide,0.8,85.3198951014858
SLC2A3,Etoposide,0.8,85.3198951014858
CD44,Etoposide,0.9,100
PHYH,Etoposide,0.95,89.5055923838693
UQCRC1,Etoposide,0.9,91.7670004709442
DPP4,Etoposide,1,86.4328726901418
IL18BP,Etoposide,1,86.4328726901418
LIMA1,Etoposide,1,86.4328726901418
PTPN1,Etoposide,1,86.4328726901418
VAMP5,Etoposide,1,86.4328726901418
ADAM8,Etoposide,0.85,85.1283966504887
F2RL1,Etoposide,0.85,85.1283966504887
IRS1,Etoposide,0.85,85.1283966504887
LAMB3,Etoposide,0.85,92.5641983252443
MADD,Etoposide,0.85,85.1283966504887
MPZL2,Etoposide,0.85,85.1283966504887
PLEK2,Etoposide,0.85,85.1283966504887
RNPS1,Etoposide,0.85,85.1283966504887
SC5D,Etoposide,0.85,85.1283966504887
TRIP10,Etoposide,0.85,85.1283966504887
AKAP12,Etoposide,0.85,91.7670004709442
DTNA,Etoposide,0.85,100
PMAIP1,Etoposide,0.85,90.5853364613665
CAB39L,Etoposide,0.95,85.1283966504887
CAPG,Etoposide,0.95,85.1283966504887
FN1,Etoposide,0.95,100
PTCH1,Etoposide,0.95,85.1283966504887
SPARC,Etoposide,0.95,85.1283966504887
UQCR11,Etoposide,0.95,85.1283966504887
BID,Etoposide,0.8,84.0627477508349
HS3ST1,Etoposide,0.8,84.0627477508349
ITGB4,Etoposide,0.8,84.0627477508349
LDLR,Etoposide,0.8,84.0627477508349
LIPA,Etoposide,0.8,84.0627477508349
MX2,Etoposide,0.8,84.0627477508349
VAMP8,Etoposide,0.8,84.0627477508349
MAP3K1,Etoposide,0.95,98.6782824718807
CDADC1,Etoposide,0.9,86.9730226388138
GABARAPL1,Etoposide,0.9,88.3057650443162
OAS2,Etoposide,0.9,86.9730226388138
TXNIP,Etoposide,0.9,88.3057650443162
ETS1,Etoposide,1,86.4328726901418
IMP4,Etoposide,1,86.4328726901418
PAK1,Etoposide,1,86.4328726901418
PGM2,Etoposide,1,93.8686743648974
TPM1,Etoposide,1,86.4328726901418
BMF,Etoposide,1,85.1283966504887
HADHA,Etoposide,1,85.1283966504887
ICAM2,Etoposide,1,85.1283966504887
ISCA1,Etoposide,1,85.1283966504887
ATP6V1G1,Etoposide,1,82.7940424902625
PSMD3,Etoposide,1,82.7940424902625
PSMD8,Etoposide,1,82.7940424902625
SGK1,Etoposide,1,82.7940424902625
SNTB1,Etoposide,1,82.7940424902625
TRIM28,Etoposide,1,82.7940424902625
IFIH1,Etoposide,0.85,82.7940424902625
NAMPT,Etoposide,0.85,100
FSCN1,Etoposide,1,85.3198951014858
LAMC1,Etoposide,1,85.3198951014858
RAC2,Etoposide,1,85.3198951014858
UPP1,Etoposide,1,85.3198951014858
ACAA2,Etoposide,1,83.9337415344357
APEX1,Etoposide,1,83.9337415344357
ECI1,Etoposide,1,83.9337415344357
ERBB3,Etoposide,1,83.9337415344357
GPX3,Etoposide,1,83.9337415344357
INHBA,Etoposide,1,100
MAPK13,Etoposide,1,83.9337415344357
MXD1,Etoposide,1,83.9337415344357
RPS2,Etoposide,1,83.9337415344357
STAT5A,Etoposide,1,83.9337415344357
TNIP1,Etoposide,1,83.9337415344357
HADHB,Etoposide,0.95,88.3057650443162
AMIGO2,Etoposide,0.9,85.1283966504887
GSN,Etoposide,0.9,85.1283966504887
RELB,Etoposide,0.9,100
SECTM1,Etoposide,0.9,100
EIF1,Etoposide,0.95,90.7974704335982
SLC11A2,Etoposide,0.925,85.3198951014858
IGFBP1,Etoposide,1,85.1283966504887
IL6ST,Etoposide,1,85.1283966504887
UBE2L3,Etoposide,1,85.1283966504887
VCAN,Etoposide,1,85.1283966504887
HNRNPR,Etoposide,0.85,100
ANPEP,Etoposide,1,84.1570114309907
MMP14,Etoposide,1,84.1570114309907
PPP1R15A,Etoposide,1,84.1570114309907
CLDN7,Etoposide,0.8,82.2007924607455
TNFAIP8,Etoposide,0.8,83.2872547429521
ATP2C1,Etoposide,0.8,83.2872547429521
EBP,Etoposide,0.85,84.7208588677571
ATP6V0C,Etoposide,0.85,85.3198951014858
BYSL,Etoposide,0.85,85.3198951014858
CAV1,Etoposide,0.85,85.3198951014858
CCT4,Etoposide,0.85,85.3198951014858
COX7A2,Etoposide,0.85,85.3198951014858
MRPL15,Etoposide,0.85,85.3198951014858
RPS10,Etoposide,0.85,85.3198951014858
CLNS1A,Fedratinib,0.95,85.1283966504887
COL5A2,Fedratinib,0.95,100
EIF3D,Fedratinib,0.95,85.1283966504887
EXOSC7,Fedratinib,0.95,98.695523960347
FDPS,Fedratinib,0.95,97.3910479206939
G3BP1,Fedratinib,0.95,98.695523960347
GSR,Fedratinib,0.95,85.1283966504887
ICAM1,Fedratinib,0.95,85.1283966504887
IMPDH2,Fedratinib,0.95,85.1283966504887
MRPL3,Fedratinib,0.95,85.1283966504887
NFS1,Fedratinib,0.95,100
NUMA1,Fedratinib,0.95,85.1283966504887
PCBP1,Fedratinib,0.95,85.1283966504887
